task_id,department,corridor_id,corridor_name,defect_type,failure_type,severity,days_overdue,estimated_repair_time_min,spatial_start_km,spatial_end_km,priority_score,criticality,risk_score,delay_minutes
TASK_00355,Engineering,CORR_003,Bina - Katni railway,Loose Fastening,Wheel Defect,2,180,66,113.66,115.24,0.553,0.51,49.59109903328568,9.921702847440834
TASK_00356,Signal & Telecom,CORR_014,Line 1: Nagercoil - Chennai Egmore,Point Machine Failure,Signal Failure,3,124,78,137.84,138.36,0.614,0.38,55.96934357665545,8.88617474694988
TASK_00357,Traction Distribution,CORR_001,Abhayapuri - Mainguri Railway Line,Insulator Flashover,Brake Failure,3,180,122,88.3,88.97,0.62,0.4,47.60093592941629,57.060454153309294
TASK_00358,Engineering,CORR_012,Konkan Railway,Track Geometry Deviation,Wheel Defect,2,87,65,57.62,58.85,0.556,0.52,55.855422149707096,2.1992048086568143
TASK_00359,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Insulator Flashover,Brake Failure,5,153,154,140.38,140.98,0.946,0.82,62.3612471468336,25.700627522428203
TASK_00360,Signal & Telecom,CORR_012,Konkan Railway,Cable Cut,Signal Failure,2,180,47,376.64,378.47,0.556,0.52,65.74085899982327,8.114127872258988
TASK_00361,Traction Distribution,CORR_008,Howrah - Delhi Railway,Pantograph Damage,Bearing Failure,2,90,106,402.57,404.19,0.685,0.95,53.49388650426808,12.960378514681954
TASK_00362,Traction Distribution,CORR_014,Line 1: Nagercoil - Chennai Egmore,Brake Pad Wear,Bearing Failure,2,132,105,50.77,51.76,0.514,0.38,56.175276051974976,42.57173049404272
TASK_00363,Signal & Telecom,CORR_009,Kashmir Railway,Point Machine Failure,Signal Failure,3,0,57,138.6,140.0,0.411,0.37,50.44926237901722,13.260621225298111
TASK_00364,Traction Distribution,CORR_011,Kolkata Circular Railway,Pantograph Damage,Brake Failure,3,180,121,104.79,106.36,0.644,0.48,65.90562852009036,15.528417353551603
TASK_00365,Engineering,CORR_020,Western Dedicated Freight Corridor,Sleeper Crack,Wheel Defect,3,21,107,652.85,654.48,0.686,0.82,57.11240965181342,11.84774647692129
TASK_00366,Signal & Telecom,CORR_008,Howrah - Delhi Railway,Point Machine Failure,Signal Failure,2,87,57,3275.14,3276.23,0.685,0.95,56.11475498146975,5.036747792078867
TASK_00367,Engineering,CORR_020,Western Dedicated Freight Corridor,Rail Wear,Track Defect,2,180,82,1081.96,1083.81,0.646,0.82,60.41912726829439,3.9280152540648334
TASK_00368,Traction Distribution,CORR_019,Mumbai-Pune Railway,Transformer Oil Leak,Brake Failure,4,180,154,14.14,16.05,0.789,0.63,64.28133790981818,4.74454955162579
TASK_00369,Traction Distribution,CORR_005,Delhi - Kalka Line,Brake Pad Wear,Brake Failure,4,39,145,407.3,408.09,0.798,0.66,63.88303955393421,13.98656173786003
TASK_00370,Signal & Telecom,CORR_003,Bina - Katni railway,Signal Relay Fault,Signal Failure,2,139,65,387.48,389.35,0.553,0.51,53.49513832504202,11.124360072129436
TASK_00371,Engineering,CORR_003,Bina - Katni railway,Rail Wear,Wheel Defect,2,157,75,412.94,414.51,0.553,0.51,56.504244186770734,8.921195669740587
TASK_00372,Engineering,CORR_001,Abhayapuri - Mainguri Railway Line,Rail Wear,Wheel Defect,2,97,88,95.94,97.77,0.52,0.4,55.1925669724164,18.459191507240888
TASK_00373,Traction Distribution,CORR_003,Bina - Katni railway,OHE Wire Sag,Brake Failure,2,180,87,109.99,111.13,0.553,0.51,46.52857806550496,38.49166444460241
TASK_00374,Engineering,CORR_015,Line 2: Chennai Egmore - Nagercoil,Track Geometry Deviation,Wheel Defect,3,34,97,121.1,122.59,0.614,0.38,75.51962995482421,22.82941630232365
TASK_00375,Engineering,CORR_003,Bina - Katni railway,Ballast Deficiency,Track Defect,3,30,87,330.84,331.69,0.653,0.51,53.07153119433224,
TASK_00376,Engineering,CORR_007,Howrah - Chennai Main Line,Rail Fracture,Track Defect,3,1,84,952.38,954.01,0.601,0.98,57.74399270684541,12.462364462255549
TASK_00377,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Bearing Overheating,Brake Failure,4,180,148,1766.9,1768.27,0.864,0.88,50.65349657232652,10.930870106075966
TASK_00378,Traction Distribution,CORR_001,Abhayapuri - Mainguri Railway Line,Bearing Overheating,Bearing Failure,2,180,89,64.49,65.71,0.52,0.4,63.96954456175462,3.09936125096147
TASK_00379,Engineering,CORR_018,Mumbai - Delhi Railway,Loose Fastening,Track Defect,4,166,127,2182.03,2183.57,0.864,0.88,58.454345341924935,8.601839936063046
TASK_00380,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Axle Counter Fault,Signal Failure,3,72,62,3078.49,3079.82,0.794,0.98,54.42909516482905,10.184205759170798
TASK_00381,Traction Distribution,CORR_004,Bolangir - Khurda,Bearing Overheating,Brake Failure,4,180,136,124.27,125.92,0.714,0.38,77.58316466470995,34.851048154963216
TASK_00382,Engineering,CORR_015,Line 2: Chennai Egmore - Nagercoil,Rail Wear,Track Defect,2,180,64,60.03,61.82,0.514,0.38,56.558521444907264,4.195420210861304
TASK_00383,Signal & Telecom,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Point Machine Failure,Signal Failure,3,180,69,54.99,56.69,0.611,0.37,51.51765584266691,19.79469297155604
TASK_00384,Engineering,CORR_019,Mumbai-Pune Railway,Rail Wear,Wheel Defect,5,180,123,70.33,71.29,0.889,0.63,65.90017155233122,18.37103632423046
TASK_00385,Engineering,CORR_016,Lucknow–Moradabad line,Loose Fastening,Track Defect,3,8,109,155.1,157.06,0.548,0.65,59.13888835509788,5.174368285600125
TASK_00386,Engineering,CORR_018,Mumbai - Delhi Railway,Rail Fracture,Wheel Defect,4,0,102,1405.21,1406.68,0.664,0.88,63.60013415233358,12.963655517562223
TASK_00387,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Panel Indication Fault,Signal Failure,2,180,55,2304.61,2305.6,0.694,0.98,49.01575646711402,3.0847928236530517
TASK_00388,Engineering,CORR_005,Delhi - Kalka Line,Ballast Deficiency,Wheel Defect,4,180,104,342.13,342.69,0.798,0.66,64.34861884466451,15.927216333295895
TASK_00389,Signal & Telecom,CORR_016,Lucknow–Moradabad line,Signal Relay Fault,Signal Failure,2,180,58,533.72,535.7,0.595,0.65,47.91616328011938,19.092773096160148
TASK_00390,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Pantograph Damage,Brake Failure,5,62,171,760.81,762.21,0.964,0.88,64.11608720275855,24.35650344815972
TASK_00391,Engineering,CORR_020,Western Dedicated Freight Corridor,Sleeper Crack,Track Defect,3,180,106,709.2,710.04,0.746,0.82,47.772252269899575,21.471175632280215
TASK_00392,Engineering,CORR_008,Howrah - Delhi Railway,Loose Fastening,Wheel Defect,4,180,119,2290.79,2292.03,0.885,0.95,58.01019832255798,40.73156438765922
TASK_00393,Engineering,CORR_008,Howrah - Delhi Railway,Sleeper Crack,Wheel Defect,3,152,108,2059.93,2061.03,0.785,0.95,68.38427947641537,37.33961703249977
TASK_00394,Engineering,CORR_017,Lumding - Silchar BG Line,Track Geometry Deviation,Wheel Defect,2,45,62,0.3,2.23,0.511,0.37,58.92589335585399,14.390374407710649
TASK_00395,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Brake Pad Wear,Bearing Failure,2,123,111,1093.87,1095.11,0.694,0.98,68.26782501908032,14.629796315948694
TASK_00396,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Pantograph Damage,Brake Failure,3,180,127,483.34,484.57,0.746,0.82,54.2001680336183,37.9998708830919
TASK_00397,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Brake Pad Wear,Bearing Failure,3,68,116,2139.79,2141.48,0.764,0.88,61.85022348351389,31.547345696983697
TASK_00398,Engineering,CORR_008,Howrah - Delhi Railway,Track Geometry Deviation,Track Defect,4,71,128,2972.24,2973.33,0.885,0.95,48.00731614106586,12.545453794461658
TASK_00399,Traction Distribution,CORR_016,Lucknow–Moradabad line,Transformer Oil Leak,Brake Failure,2,180,107,158.76,159.55,0.595,0.65,62.665195044966126,42.22600517212743
TASK_00400,Engineering,CORR_016,Lucknow–Moradabad line,Rail Wear,Wheel Defect,3,75,81,57.08,58.73,0.695,0.65,56.0000884083212,12.19125135664027
TASK_00401,Engineering,CORR_003,Bina - Katni railway,Loose Fastening,Track Defect,2,75,81,147.99,149.86,0.553,0.51,53.72899465678635,
TASK_00402,Engineering,CORR_019,Mumbai-Pune Railway,Rail Fracture,Wheel Defect,4,36,127,34.57,35.14,0.789,0.63,53.3371445413862,2.461845865551311
TASK_00403,Engineering,CORR_010,Katni - Obra railway,Ballast Deficiency,Wheel Defect,2,180,89,148.15,149.94,0.55,0.5,49.76024298970594,15.870666033496956
TASK_00404,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Insulator Flashover,Bearing Failure,2,34,100,597.79,598.95,0.664,0.88,57.67042263687184,17.796342006359172
TASK_00405,Engineering,CORR_007,Howrah - Chennai Main Line,Rail Wear,Wheel Defect,3,180,85,1680.77,1681.7,0.794,0.98,72.28820841857959,16.744020471897418
TASK_00406,Traction Distribution,CORR_019,Mumbai-Pune Railway,Transformer Oil Leak,Bearing Failure,3,70,114,62.58,63.14,0.689,0.63,57.33945223022452,16.823197292536598
TASK_00407,Traction Distribution,CORR_008,Howrah - Delhi Railway,Bearing Overheating,Bearing Failure,5,45,166,1920.84,1921.65,0.985,0.95,56.00510716914127,12.903051150666592
TASK_00408,Traction Distribution,CORR_001,Abhayapuri - Mainguri Railway Line,Transformer Oil Leak,Bearing Failure,2,15,90,33.21,34.21,0.42,0.4,58.57574843386893,8.56463591071546
TASK_00409,Engineering,CORR_019,Mumbai-Pune Railway,Loose Fastening,Wheel Defect,3,180,84,159.49,160.1,0.689,0.63,59.15638446530217,27.418553618700777
TASK_00410,Traction Distribution,CORR_003,Bina - Katni railway,Pantograph Damage,Bearing Failure,2,180,86,685.7,686.48,0.553,0.51,58.21681910019176,33.12892034600338
TASK_00411,Traction Distribution,CORR_007,Howrah - Chennai Main Line,OHE Wire Sag,Brake Failure,2,145,97,1414.84,1416.45,0.694,0.98,53.64726184089551,13.393563355772992
TASK_00412,Signal & Telecom,CORR_020,Western Dedicated Freight Corridor,Point Machine Failure,Signal Failure,4,180,73,94.22,95.75,0.846,0.82,67.27188126397587,11.519195322436984
TASK_00413,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Insulator Flashover,Brake Failure,3,144,123,456.32,457.97,0.746,0.82,54.78819233253833,19.75451619689869
TASK_00414,Engineering,CORR_012,Konkan Railway,Track Geometry Deviation,Track Defect,2,67,90,41.05,41.8,0.556,0.52,59.83865845962103,11.040997720343942
TASK_00415,Signal & Telecom,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Track Circuit Failure,Signal Failure,3,75,69,35.8,36.36,0.611,0.37,46.77621620669708,7.934974700968744
TASK_00416,Signal & Telecom,CORR_009,Kashmir Railway,Track Circuit Failure,Signal Failure,2,168,59,96.19,97.39,0.511,0.37,50.44985336633874,7.26896783397352
TASK_00417,Engineering,CORR_007,Howrah - Chennai Main Line,Loose Fastening,Track Defect,4,180,107,1817.63,1818.64,0.894,0.98,57.24108263557455,4.667393605661821
TASK_00418,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Track Circuit Failure,Signal Failure,2,180,67,850.74,852.41,0.694,0.98,57.16783382348085,20.514271869776696
TASK_00419,Engineering,CORR_015,Line 2: Chennai Egmore - Nagercoil,Rail Wear,Wheel Defect,2,180,74,141.47,142.78,0.514,0.38,52.171451565771726,26.32600145655089
TASK_00420,Engineering,CORR_016,Lucknow–Moradabad line,Rail Wear,Track Defect,2,107,77,73.53,75.43,0.595,0.65,72.17070978008431,12.635805066651791
TASK_00421,Traction Distribution,CORR_017,Lumding - Silchar BG Line,OHE Wire Sag,Brake Failure,5,180,169,36.99,37.58,0.811,0.37,64.15654502433436,6.071905118916359
TASK_00422,Engineering,CORR_017,Lumding - Silchar BG Line,Track Geometry Deviation,Wheel Defect,3,13,89,109.59,110.64,0.498,0.37,50.46148259462346,25.27821792597324
TASK_00423,Traction Distribution,CORR_003,Bina - Katni railway,Insulator Flashover,Brake Failure,3,180,113,142.24,143.35,0.653,0.51,60.37482378979728,10.304675113524976
TASK_00424,Traction Distribution,CORR_010,Katni - Obra railway,Brake Pad Wear,Bearing Failure,2,85,101,423.51,424.2,0.55,0.5,62.64509804070617,4.924395757871606
TASK_00425,Traction Distribution,CORR_002,Bhairabi Sairang Railway Link,Insulator Flashover,Bearing Failure,2,129,109,54.2,55.57,0.511,0.37,58.60886933472843,10.996767964685509
TASK_00426,Traction Distribution,CORR_011,Kolkata Circular Railway,Insulator Flashover,Brake Failure,2,45,97,108.5,109.06,0.544,0.48,58.460113802591565,0.7639351643192607
TASK_00427,Signal & Telecom,CORR_008,Howrah - Delhi Railway,Cable Cut,Signal Failure,2,113,65,549.02,550.59,0.685,0.95,69.31739722788467,2.378230159692121
TASK_00428,Traction Distribution,CORR_019,Mumbai-Pune Railway,Transformer Oil Leak,Bearing Failure,2,180,101,101.9,102.46,0.589,0.63,55.843024835197646,7.897249531709568
TASK_00429,Engineering,CORR_007,Howrah - Chennai Main Line,Ballast Deficiency,Track Defect,5,180,117,1479.3,1481.11,0.994,0.98,59.91155594191567,13.14269690828836
TASK_00430,Signal & Telecom,CORR_004,Bolangir - Khurda,Track Circuit Failure,Signal Failure,2,180,53,219.35,219.95,0.514,0.38,55.91714889170352,13.27111615511994
TASK_00431,Engineering,CORR_004,Bolangir - Khurda,Ballast Deficiency,Track Defect,3,33,92,213.32,214.5,0.614,0.38,50.41982313396118,6.358386804095159
TASK_00432,Engineering,CORR_016,Lucknow–Moradabad line,Ballast Deficiency,Track Defect,3,158,104,71.08,71.81,0.695,0.65,63.794908504462086,10.341086530418176
TASK_00433,Traction Distribution,CORR_013,Krishnapatnam Port - Obulavaripalle new line,OHE Wire Sag,Bearing Failure,3,180,121,94.35,95.05,0.611,0.37,53.90936248454558,31.680603594854382
TASK_00434,Traction Distribution,CORR_003,Bina - Katni railway,Pantograph Damage,Brake Failure,4,30,131,139.49,141.07,0.753,0.51,61.05650270249012,15.555408509218948
TASK_00435,Engineering,CORR_003,Bina - Katni railway,Track Geometry Deviation,Wheel Defect,2,161,65,230.39,232.05,0.553,0.51,56.77836266218885,14.15955430292027
TASK_00436,Engineering,CORR_015,Line 2: Chennai Egmore - Nagercoil,Rail Fracture,Wheel Defect,2,180,85,65.16,66.77,0.514,0.38,75.32327322634659,22.094737756923184
TASK_00437,Traction Distribution,CORR_003,Bina - Katni railway,Pantograph Damage,Brake Failure,3,180,109,206.85,207.96,0.653,0.51,46.53226879827403,11.758610423961226
TASK_00438,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Insulator Flashover,Bearing Failure,3,180,118,2173.75,2175.74,0.764,0.88,54.47554409485258,23.827258469388003
TASK_00439,Traction Distribution,CORR_016,Lucknow–Moradabad line,Brake Pad Wear,Bearing Failure,3,121,126,184.5,185.51,0.695,0.65,47.90394383707728,3.3606407786759305
TASK_00440,Engineering,CORR_003,Bina - Katni railway,Track Geometry Deviation,Track Defect,2,148,63,589.02,589.89,0.553,0.51,48.62292915863892,18.510289727829864
TASK_00441,Traction Distribution,CORR_003,Bina - Katni railway,Bearing Overheating,Brake Failure,2,83,85,717.13,719.12,0.553,0.51,58.15992445752135,6.678406430901868
TASK_00442,Signal & Telecom,CORR_020,Western Dedicated Freight Corridor,Track Circuit Failure,Signal Failure,2,180,56,1601.39,1603.36,0.646,0.82,59.56763354025453,13.30855794703787
TASK_00443,Traction Distribution,CORR_008,Howrah - Delhi Railway,Brake Pad Wear,Bearing Failure,4,180,130,1187.67,1189.06,0.885,0.95,70.03330288696742,14.595108560917216
TASK_00444,Engineering,CORR_008,Howrah - Delhi Railway,Sleeper Crack,Wheel Defect,3,93,107,2440.42,2441.23,0.785,0.95,52.870921971541314,23.99664849344872
TASK_00445,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Bearing Overheating,Bearing Failure,4,180,155,1360.24,1361.1,0.864,0.88,54.28631704685645,45.50595182503312
TASK_00446,Signal & Telecom,CORR_020,Western Dedicated Freight Corridor,Axle Counter Fault,Signal Failure,3,180,74,1498.07,1499.35,0.746,0.82,55.696647222733525,9.29194876265218
TASK_00447,Engineering,CORR_020,Western Dedicated Freight Corridor,Rail Fracture,Wheel Defect,5,167,142,291.6,293.26,0.946,0.82,65.82789634822029,10.437968317420946
TASK_00448,Signal & Telecom,CORR_016,Lucknow–Moradabad line,Cable Cut,Signal Failure,2,56,62,356.85,357.47,0.595,0.65,60.02365796696981,40.33955221021223
TASK_00449,Traction Distribution,CORR_008,Howrah - Delhi Railway,Bearing Overheating,Brake Failure,3,167,119,2654.57,2656.1,0.785,0.95,58.79717117686511,13.952167145981273
TASK_00450,Signal & Telecom,CORR_003,Bina - Katni railway,Axle Counter Fault,Signal Failure,2,103,51,548.99,549.64,0.553,0.51,53.93479519961518,8.69988929137173
TASK_00451,Traction Distribution,CORR_017,Lumding - Silchar BG Line,Brake Pad Wear,Bearing Failure,2,180,89,156.21,157.98,0.511,0.37,60.16409564294667,21.21010754837629
TASK_00452,Traction Distribution,CORR_011,Kolkata Circular Railway,OHE Wire Sag,Bearing Failure,2,53,92,7.62,8.92,0.544,0.48,45.73473496617028,3.929130979266215
TASK_00453,Engineering,CORR_008,Howrah - Delhi Railway,Rail Fracture,Wheel Defect,5,44,130,1186.42,1188.4,0.985,0.95,56.289758772407104,8.9300493104695
TASK_00454,Engineering,CORR_019,Mumbai-Pune Railway,Sleeper Crack,Wheel Defect,5,180,133,93.29,94.92,0.889,0.63,47.42752068511287,8.797871221208752
TASK_00455,Traction Distribution,CORR_003,Bina - Katni railway,Pantograph Damage,Brake Failure,2,112,94,223.4,224.65,0.553,0.51,64.11724843219088,54.82855830235543
TASK_00456,Traction Distribution,CORR_010,Katni - Obra railway,Bearing Overheating,Brake Failure,2,90,89,193.29,194.0,0.55,0.5,58.56651573978792,27.16870473242004
TASK_00457,Signal & Telecom,CORR_001,Abhayapuri - Mainguri Railway Line,Axle Counter Fault,Signal Failure,3,111,70,17.0,18.31,0.62,0.4,65.28088206518325,33.42435900001953
TASK_00458,Signal & Telecom,CORR_009,Kashmir Railway,Cable Cut,Signal Failure,2,180,53,121.22,121.89,0.511,0.37,54.67674530894045,10.419547593042296
TASK_00459,Engineering,CORR_002,Bhairabi Sairang Railway Link,Sleeper Crack,Wheel Defect,3,122,88,50.38,52.24,0.611,0.37,58.73067648297551,5.098187453626581
TASK_00460,Traction Distribution,CORR_004,Bolangir - Khurda,OHE Wire Sag,Bearing Failure,3,115,111,18.21,19.06,0.614,0.38,56.64703018948782,22.14800816925283
TASK_00461,Signal & Telecom,CORR_004,Bolangir - Khurda,Axle Counter Fault,Signal Failure,2,23,56,34.26,36.06,0.467,0.38,64.23467882695246,22.077962475117182
TASK_00462,Signal & Telecom,CORR_014,Line 1: Nagercoil - Chennai Egmore,Signal Relay Fault,Signal Failure,2,171,57,46.33,47.29,0.514,0.38,57.30860694543857,9.787316797927772
TASK_00463,Traction Distribution,CORR_016,Lucknow–Moradabad line,Pantograph Damage,Brake Failure,2,180,107,284.63,285.46,0.595,0.65,43.16044621587668,20.958711663236198
TASK_00464,Traction Distribution,CORR_012,Konkan Railway,Pantograph Damage,Bearing Failure,4,180,127,318.83,319.79,0.756,0.52,51.6801877141951,14.632163288898358
TASK_00465,Signal & Telecom,CORR_020,Western Dedicated Freight Corridor,Point Machine Failure,Signal Failure,3,2,80,136.1,137.66,0.559,0.82,49.99686682536226,
TASK_00466,Engineering,CORR_008,Howrah - Delhi Railway,Ballast Deficiency,Wheel Defect,3,180,91,2185.01,2186.3,0.785,0.95,53.95193301116667,21.420351620621037
TASK_00467,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Transformer Oil Leak,Bearing Failure,5,95,154,523.09,523.75,0.994,0.98,60.79697475463709,29.880990198618843
TASK_00468,Engineering,CORR_018,Mumbai - Delhi Railway,Rail Wear,Track Defect,4,180,123,2474.91,2475.62,0.864,0.88,58.95827773574405,
TASK_00469,Traction Distribution,CORR_006,Eastern Dedicated Freight Corridor,Transformer Oil Leak,Bearing Failure,5,167,163,1538.89,1539.96,0.934,0.78,62.53368063824214,4.4800425026922825
TASK_00470,Signal & Telecom,CORR_020,Western Dedicated Freight Corridor,Track Circuit Failure,Signal Failure,2,0,67,1808.66,1809.67,0.446,0.82,53.58975198402129,20.57542372343536
TASK_00471,Signal & Telecom,CORR_001,Abhayapuri - Mainguri Railway Line,Signal Relay Fault,Signal Failure,3,58,78,10.25,12.03,0.62,0.4,60.272874727610514,13.272891553597075
TASK_00472,Engineering,CORR_020,Western Dedicated Freight Corridor,Rail Fracture,Track Defect,3,55,95,929.56,930.92,0.746,0.82,52.6404546634317,5.5852546002474135
TASK_00473,Traction Distribution,CORR_002,Bhairabi Sairang Railway Link,Pantograph Damage,Brake Failure,2,180,100,9.17,9.95,0.511,0.37,51.87021536463283,17.714879553889066
TASK_00474,Traction Distribution,CORR_019,Mumbai-Pune Railway,Bearing Overheating,Brake Failure,2,180,109,117.53,118.07,0.589,0.63,54.211863867094266,1.287285649074733
TASK_00475,Traction Distribution,CORR_011,Kolkata Circular Railway,Bearing Overheating,Brake Failure,3,124,119,30.37,31.02,0.644,0.48,40.25174610782715,25.0762849868337
TASK_00476,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Insulator Flashover,Bearing Failure,2,180,88,1467.81,1469.36,0.646,0.82,51.25362671379519,2.1125931537520426
TASK_00477,Traction Distribution,CORR_003,Bina - Katni railway,OHE Wire Sag,Brake Failure,2,56,84,464.45,466.22,0.553,0.51,53.43534493372369,44.82388093130572
TASK_00478,Traction Distribution,CORR_011,Kolkata Circular Railway,OHE Wire Sag,Brake Failure,2,7,104,74.6,76.27,0.391,0.48,46.89063322747081,14.148214704254077
TASK_00479,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Transformer Oil Leak,Brake Failure,2,29,89,1571.8,1573.48,0.639,0.82,66.14784156442462,36.44456714250054
TASK_00480,Traction Distribution,CORR_011,Kolkata Circular Railway,OHE Wire Sag,Brake Failure,3,142,124,65.29,66.18,0.644,0.48,62.11459993962177,6.3501753022029455
TASK_00481,Traction Distribution,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Bearing Overheating,Bearing Failure,5,180,170,28.02,30.0,0.811,0.37,54.6191974014653,47.830622466640015
TASK_00482,Engineering,CORR_015,Line 2: Chennai Egmore - Nagercoil,Sleeper Crack,Wheel Defect,3,180,93,114.45,115.08,0.614,0.38,57.2898583091613,20.060286834576694
TASK_00483,Engineering,CORR_009,Kashmir Railway,Rail Fracture,Wheel Defect,4,180,118,142.71,144.44,0.711,0.37,55.507181980345976,3.706700616250032
TASK_00484,Engineering,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Track Geometry Deviation,Track Defect,4,10,101,62.42,63.07,0.578,0.37,54.412533888437856,12.33987668805806
TASK_00485,Traction Distribution,CORR_012,Konkan Railway,Bearing Overheating,Brake Failure,3,180,132,253.72,254.62,0.656,0.52,55.40246574220909,5.621070476945406
TASK_00486,Engineering,CORR_019,Mumbai-Pune Railway,Ballast Deficiency,Wheel Defect,2,180,85,183.0,184.24,0.589,0.63,46.3696855307675,8.73266288173054
TASK_00487,Engineering,CORR_002,Bhairabi Sairang Railway Link,Track Geometry Deviation,Track Defect,4,142,109,28.59,29.17,0.711,0.37,71.36811771078061,10.151439500806893
TASK_00488,Signal & Telecom,CORR_007,Howrah - Chennai Main Line,Signal Relay Fault,Signal Failure,3,180,78,3490.03,3491.12,0.794,0.98,63.95284517165523,2.85986382148979
TASK_00489,Engineering,CORR_020,Western Dedicated Freight Corridor,Rail Fracture,Wheel Defect,5,180,130,304.11,305.14,0.946,0.82,73.09097275238133,16.531300943068356
TASK_00490,Engineering,CORR_019,Mumbai-Pune Railway,Sleeper Crack,Wheel Defect,2,180,83,105.14,106.61,0.589,0.63,66.12935324825467,4.516635542753918
TASK_00491,Traction Distribution,CORR_009,Kashmir Railway,Transformer Oil Leak,Brake Failure,2,180,83,31.75,33.33,0.511,0.37,53.599950910405376,33.332954464525606
TASK_00492,Traction Distribution,CORR_013,Krishnapatnam Port - Obulavaripalle new line,Bearing Overheating,Brake Failure,4,180,130,47.07,47.71,0.711,0.37,69.54032349163862,17.739932162470613
TASK_00493,Engineering,CORR_007,Howrah - Chennai Main Line,Rail Fracture,Track Defect,2,111,82,597.48,598.04,0.694,0.98,63.48282979433933,31.52020342485692
TASK_00494,Signal & Telecom,CORR_005,Delhi - Kalka Line,Cable Cut,Signal Failure,4,180,96,128.92,130.58,0.798,0.66,58.932880044768446,3.847521280294513
TASK_00495,Traction Distribution,CORR_009,Kashmir Railway,Pantograph Damage,Brake Failure,2,178,107,31.43,32.72,0.511,0.37,51.608528430970985,17.302133746630563
TASK_00496,Traction Distribution,CORR_007,Howrah - Chennai Main Line,Brake Pad Wear,Bearing Failure,2,12,86,1121.0,1122.3,0.574,0.98,60.18760893328349,18.307681512997554
TASK_00497,Traction Distribution,CORR_012,Konkan Railway,Pantograph Damage,Bearing Failure,2,171,100,54.24,56.21,0.556,0.52,44.2486449342582,33.518970868587964
TASK_00498,Engineering,CORR_003,Bina - Katni railway,Rail Fracture,Track Defect,5,180,126,583.69,584.85,0.853,0.51,61.58951896298353,32.94038094061864
TASK_00499,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,OHE Wire Sag,Brake Failure,3,45,124,420.32,421.11,0.746,0.82,55.33589825085477,8.071901043299526
TASK_00500,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Transformer Oil Leak,Brake Failure,2,152,102,793.43,794.95,0.646,0.82,56.964242881746586,6.590076745066782
TASK_00501,Signal & Telecom,CORR_015,Line 2: Chennai Egmore - Nagercoil,Signal Relay Fault,Signal Failure,2,180,44,2.96,4.68,0.514,0.38,56.02121091195771,7.536577452670767
TASK_00502,Engineering,CORR_011,Kolkata Circular Railway,Rail Fracture,Wheel Defect,3,180,100,13.69,14.94,0.644,0.48,61.1969288220381,43.1485744522584
TASK_00503,Engineering,CORR_007,Howrah - Chennai Main Line,Track Geometry Deviation,Track Defect,2,180,64,3139.45,3140.99,0.694,0.98,55.88834418388274,14.032116136748057
TASK_00504,Traction Distribution,CORR_018,Mumbai - Delhi Railway,Bearing Overheating,Bearing Failure,3,180,118,2132.77,2134.04,0.764,0.88,59.92462523864448,15.27161537846636
TASK_00505,Engineering,CORR_015,Line 2: Chennai Egmore - Nagercoil,Loose Fastening,Track Defect,2,87,80,155.05,156.16,0.514,0.38,67.4712006361182,12.48987767270546
TASK_00506,Engineering,CORR_005,Delhi - Kalka Line,Sleeper Crack,Track Defect,2,180,82,238.31,238.86,0.598,0.66,58.2186453224117,24.000441816870143
TASK_00507,Traction Distribution,CORR_019,Mumbai-Pune Railway,Bearing Overheating,Bearing Failure,3,180,129,27.71,28.47,0.689,0.63,60.09790964229665,14.044667058602556
TASK_00508,Engineering,CORR_018,Mumbai - Delhi Railway,Rail Wear,Track Defect,3,180,109,274.88,276.1,0.764,0.88,52.30348393378331,13.16440287976904
TASK_00509,Traction Distribution,CORR_020,Western Dedicated Freight Corridor,Pantograph Damage,Brake Failure,2,180,83,1153.49,1154.58,0.646,0.82,66.33740411861608,17.559991947632803
TASK_00510,Traction Distribution,CORR_016,Lucknow–Moradabad line,Pantograph Damage,Bearing Failure,3,180,129,463.13,464.89,0.695,0.65,54.01465632838024,16.383747901819724
